col,x,amplitude,phase
3323, 88.004, 3031.261, 43.695
3324, 88.257, 3034.861, 43.695
3325, 88.417, 3037.118, 43.695
3326, 88.599, 3039.706, 43.696
3327, 88.798, 3042.532, 43.696
3328, 88.881, 3043.696, 43.696
3329, 88.886, 3043.769, 43.696
3330, 88.860, 3043.409, 43.696
3331, 88.840, 3043.123, 43.696
3332, 88.892, 3043.861, 43.696
3333, 88.878, 3043.661, 43.696
3334, 88.638, 3040.254, 43.696
3335, 88.232, 3034.504, 43.695
3336, 87.772, 3027.969, 43.694
3337, 87.346, 3021.915, 43.694
3338, 86.919, 3015.832, 43.694
3339, 86.423, 3008.762, 43.694
3340, 86.243, 3006.192, 43.694
3341, 86.304, 3007.058, 43.694
3342, 86.106, 3004.226, 43.694
3343, 85.801, 2999.868, 43.694
3344, 85.690, 2998.287, 43.694
3345, 85.682, 2998.171, 43.695
3346, 85.382, 2993.878, 43.695
3347, 84.879, 2986.674, 43.696
3348, 84.499, 2981.211, 43.697
3349, 84.288, 2978.184, 43.698
3350, 84.252, 2977.668, 43.698
3351, 84.160, 2976.340, 43.699
3352, 84.009, 2974.166, 43.699
3353, 83.868, 2972.140, 43.700
3354, 83.693, 2969.630, 43.701
3355, 83.640, 2968.862, 43.701
3356, 83.630, 2968.715, 43.701
3357, 83.619, 2968.558, 43.701
3358, 83.508, 2966.959, 43.701
3359, 83.149, 2961.783, 43.703
3360, 82.793, 2956.639, 43.705
3361, 82.520, 2952.699, 43.707
3362, 82.226, 2948.443, 43.709
3363, 82.000, 2945.169, 43.711
3364, 81.955, 2944.515, 43.711
3365, 82.062, 2946.067, 43.710
3366, 82.305, 2949.586, 43.708
3367, 82.661, 2954.731, 43.706
3368, 83.086, 2960.878, 43.704
3369, 83.648, 2968.981, 43.701
3370, 84.382, 2979.539, 43.698
3371, 85.207, 2991.367, 43.695
3372, 85.953, 3002.038, 43.694
3373, 86.562, 3010.741, 43.694
3374, 87.034, 3017.463, 43.694
3375, 87.306, 3021.341, 43.694
3376, 87.455, 3023.458, 43.694
3377, 87.577, 3025.193, 43.694
3378, 87.645, 3026.167, 43.694
3379, 87.741, 3027.525, 43.694
3380, 87.894, 3029.698, 43.694
3381, 87.932, 3030.243, 43.695
3382, 87.865, 3029.285, 43.694
3383, 87.754, 3027.718, 43.694
3384, 87.595, 3025.448, 43.694
3385, 87.457, 3023.490, 43.694
3386, 87.376, 3022.337, 43.694
3387, 87.257, 3020.648, 43.694
3388, 87.143, 3019.022, 43.694
3389, 87.238, 3020.365, 43.694
3390, 87.445, 3023.322, 43.694
3391, 87.696, 3026.885, 43.694
3392, 88.002, 3031.236, 43.695
3393, 88.297, 3035.417, 43.695
3394, 88.546, 3038.960, 43.696
3395, 88.667, 3040.667, 43.696
3396, 88.618, 3039.968, 43.696
3397, 88.511, 3038.459, 43.696
3398, 88.553, 3039.057, 43.696
3399, 88.691, 3041.003, 43.696
3400, 88.925, 3044.328, 43.697
3401, 89.257, 3049.020, 43.698
3402, 89.543, 3053.076, 43.698
3403, 89.765, 3056.206, 43.699
3404, 89.785, 3056.486, 43.699
3405, 89.717, 3055.533, 43.699
3406, 89.663, 3054.770, 43.699
3407, 89.567, 3053.411, 43.699
3408, 89.461, 3051.917, 43.698
3409, 89.408, 3051.166, 43.698
3410, 89.494, 3052.374, 43.698
3411, 89.570, 3053.451, 43.699
3412, 89.676, 3054.954, 43.699
3413, 89.767, 3056.230, 43.699
3414, 89.776, 3056.358, 43.699
3415, 89.757, 3056.093, 43.699
3416, 89.694, 3055.200, 43.699
3417, 89.729, 3055.693, 43.699
3418, 89.688, 3055.126, 43.699
3419, 89.691, 3055.167, 43.699
3420, 89.757, 3056.091, 43.699
3421, 89.701, 3055.301, 43.699
3422, 89.595, 3053.805, 43.699
3423, 89.382, 3050.792, 43.698
3424, 89.211, 3048.368, 43.697
3425, 88.951, 3044.689, 43.697
3426, 88.642, 3040.311, 43.696
3427, 88.405, 3036.948, 43.695
3428, 88.119, 3032.900, 43.695
3429, 87.916, 3030.017, 43.694
3430, 87.814, 3028.560, 43.694
3431, 87.812, 3028.530, 43.694
3432, 87.820, 3028.648, 43.694
3433, 87.837, 3028.890, 43.694
3434, 87.936, 3030.292, 43.695
3435, 88.031, 3031.642, 43.695
3436, 88.066, 3032.139, 43.695
3437, 88.055, 3031.991, 43.695
3438, 87.949, 3030.481, 43.695
3439, 87.716, 3027.173, 43.694
3440, 87.448, 3023.358, 43.694
3441, 87.077, 3018.084, 43.694
3442, 86.783, 3013.891, 43.694
3443, 86.676, 3012.359, 43.694
3444, 86.586, 3011.076, 43.694
3445, 86.532, 3010.310, 43.694
3446, 86.535, 3010.352, 43.694
3447, 86.562, 3010.746, 43.694
3448, 86.563, 3010.750, 43.694
3449, 86.563, 3010.749, 43.694
3450, 86.577, 3010.957, 43.694
3451, 86.604, 3011.344, 43.694
3452, 86.672, 3012.314, 43.694
3453, 86.758, 3013.537, 43.694
3454, 86.891, 3015.433, 43.694
3455, 87.145, 3019.054, 43.694
3456, 87.462, 3023.555, 43.694
3457, 87.804, 3028.428, 43.694
3458, 88.194, 3033.958, 43.695
3459, 88.503, 3038.343, 43.696
3460, 88.679, 3040.834, 43.696
3461, 88.736, 3041.654, 43.696
3462, 88.711, 3041.299, 43.696
3463, 88.630, 3040.149, 43.696
3464, 88.578, 3039.412, 43.696
3465, 88.633, 3040.183, 43.696
3466, 88.723, 3041.461, 43.696
3467, 88.852, 3043.284, 43.696
3468, 88.986, 3045.182, 43.697
3469, 89.156, 3047.590, 43.697
3470, 89.315, 3049.847, 43.698
3471, 89.298, 3049.604, 43.698
3472, 89.174, 3047.857, 43.697
3473, 89.031, 3045.826, 43.697
3474, 88.842, 3043.150, 43.696
3475, 88.621, 3040.022, 43.696
3476, 88.379, 3036.583, 43.695
3477, 88.107, 3032.728, 43.695
3478, 87.862, 3029.245, 43.694
3479, 87.644, 3026.145, 43.694
3480, 87.560, 3024.959, 43.694
3481, 87.685, 3026.734, 43.694
3482, 87.858, 3029.190, 43.694
3483, 87.935, 3030.282, 43.695
3484, 87.992, 3031.087, 43.695
3485, 88.179, 3033.753, 43.695
3486, 88.445, 3037.526, 43.695
3487, 88.733, 3041.599, 43.696
3488, 88.988, 3045.224, 43.697
3489, 89.163, 3047.696, 43.697
3490, 89.356, 3050.427, 43.698
3491, 89.670, 3054.871, 43.699
3492, 89.959, 3058.943, 43.700
3493, 90.146, 3061.581, 43.701
3494, 90.435, 3065.660, 43.702
3495, 90.807, 3070.906, 43.704
3496, 91.197, 3076.402, 43.705
3497, 91.555, 3081.442, 43.707
3498, 91.839, 3085.435, 43.709
3499, 92.141, 3089.669, 43.711
3500, 92.499, 3094.696, 43.713
3501, 92.963, 3101.194, 43.716
3502, 93.497, 3108.670, 43.720
3503, 93.981, 3115.437, 43.723
3504, 94.351, 3120.613, 43.726
3505, 94.698, 3125.447, 43.729
3506, 95.133, 3131.512, 43.733
3507, 95.485, 3136.425, 43.736
3508, 95.626, 3138.385, 43.737
3509, 95.848, 3141.468, 43.739
3510, 96.117, 3145.219, 43.742
3511, 96.231, 3146.795, 43.743
3512, 96.331, 3148.197, 43.744
3513, 96.404, 3149.208, 43.744
3514, 96.471, 3150.136, 43.745
3515, 96.582, 3151.682, 43.746
3516, 96.616, 3152.152, 43.746
3517, 96.534, 3151.013, 43.746
3518, 96.367, 3148.694, 43.744
3519, 96.126, 3145.340, 43.742
3520, 95.847, 3141.456, 43.739
3521, 95.663, 3138.903, 43.737
3522, 95.566, 3137.545, 43.737
3523, 95.539, 3137.167, 43.736
3524, 95.594, 3137.938, 43.737
3525, 95.598, 3137.992, 43.737
3526, 95.599, 3138.004, 43.737
3527, 95.613, 3138.198, 43.737
